Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
ZSL,2.2397,Put,2,2026-03-20T16:30:00-05:00,28,"0.20 x 501","15.00 x 1",0.2,500,bid,10000,501,5602,132.08%,-0.3089920038,AUTO,N/A,"09:30:00 ET"
MSOS,4.135,Call,4,2026-02-20T16:30:00-06:00,0,"0.00 x 0","5.00 x 3",0.19,431,mid,8100,6002,33476,101.85%,0.74396793215967,AUTO,N/A,"09:30:00 ET"
EFA,103.915,Call,105,2026-02-27T16:30:00-06:00,7,"0.41 x 63","0.42 x 42",0.41,261,bid,10700,326,359,14.80%,0.30496701910989,AUTO,N/A,"09:30:01 ET"
TSLL,15.3186,Call,20,2026-09-18T16:30:00-05:00,210,"2.42 x 50","3.10 x 50",2.7,320,mid,86400,320,606,87.56%,0.48471160334178,AUTO,N/A,"09:30:01 ET"
TSLL,15.3186,Call,15.5,2026-02-20T16:30:00-06:00,0,"0.01 x 165","0.22 x 536",0.16,520,mid,8300,1628,3872,71.63%,0.38396505539045,AUTO,N/A,"09:30:01 ET"
VTWO,106.27,Call,110,2026-06-18T16:30:00-05:00,118,"2.60 x 1","5.80 x 1",4.1,200,mid,81900,200,13,21.43%,0.45065091424249,AUTO,ToOpen,"09:30:01 ET"
INDA,52.71,Call,53,2026-03-20T16:30:00-05:00,28,"0.45 x 40","1.20 x 13",0.75,600,mid,45000,600,1265,14.05%,0.48013575950783,AUTO,N/A,"09:30:02 ET"
TLT,89.66,Put,85,2026-12-31T16:30:00-06:00,314,"2.16 x 65","2.20 x 585",2.2,210,ask,46200,835,526,14.27%,-0.2788942388,AUTO,N/A,"09:30:06 ET"
LIT,72.1944,Call,80,2026-03-20T16:30:00-05:00,28,"0.15 x 75","0.85 x 52",0.55,108,mid,5900,112,142,34.43%,0.15868826786745,AUTO,N/A,"09:30:08 ET"
SOXS,1.79,Call,3,2026-03-20T16:30:00-05:00,28,"0.0600 x 331","0.0700 x 900",0.07,900,ask,6300,900,9947,166.48%,0.18849349182408,AUTO,N/A,"09:30:08 ET"
TQQQ,48.455,Call,90,2026-06-18T16:30:00-05:00,118,"0.12 x 120","0.35 x 10",0.19,289,mid,5400,289,3327,54.46%,0.035470090010835,MLET,N/A,"09:30:12 ET"
TQQQ,48.455,Call,80,2026-06-18T16:30:00-05:00,118,"0.20 x 20","0.36 x 143",0.34,289,mid,9800,309,2496,51.13%,0.062006479235519,MLET,N/A,"09:30:12 ET"
TSLL,15.3186,Call,21,2026-03-27T16:30:00-05:00,35,"0.07 x 800","0.55 x 4025",0.2,1000,mid,20000,1005,1549,78.04%,0.12103366731815,AUTO,N/A,"09:30:12 ET"
QQQ,602.0999,Put,593,2026-02-20T16:30:00-06:00,0,"0.99 x 73","1.00 x 488",1,985,ask,98500,2978,13858,27.93%,-0.1440769185,AUTO,N/A,"09:30:13 ET"
TNA,54.12,Put,50.5,2026-02-27T16:30:00-06:00,7,"1.29 x 6","1.50 x 119",1.29,202,bid,26000,271,974,91.96%,-0.2705200049,AUTO,N/A,"09:30:13 ET"
IBIT,38.07,Call,40,2026-02-25T16:30:00-06:00,5,"0.16 x 592","0.20 x 2750",0.2,588,ask,11700,593,2905,47.04%,0.1944192888851,AUTO,N/A,"09:30:15 ET"
TQQQ,48.455,Call,49,2026-03-06T16:30:00-06:00,14,"1.87 x 805","2.82 x 879",2.6,250,mid,65000,256,1478,69.75%,0.49865683020022,SLFT,N/A,"09:30:17 ET"
SLV,73.3441,Call,75,2026-02-20T16:30:00-06:00,0,"0.12 x 100","0.13 x 1",0.13,2279,ask,29600,3169,31734,40.87%,0.15008450431035,MLCT,N/A,"09:30:25 ET"
SLV,73.3441,Put,75,2026-02-20T16:30:00-06:00,0,"2.04 x 325","2.23 x 224",2.13,2279,mid,485400,2374,23001,48.15%,-0.8100989041,MLCT,N/A,"09:30:25 ET"
KWEB,32.0465,Put,33,2026-02-20T16:30:00-06:00,0,"1.10 x 180","1.13 x 23",1.1,180,bid,19800,211,17370,48.25%,-0.876310283,AUTO,N/A,"09:30:26 ET"
ETHA,14.6999,Put,14,2026-03-06T16:30:00-06:00,14,"0.50 x 23","0.52 x 315",0.51,270,mid,13700,339,5960,69.37%,-0.3315069242,AUTO,N/A,"09:30:30 ET"
TQQQ,48.455,Put,30,2026-03-27T16:30:00-05:00,35,"0.47 x 1177","0.59 x 4",0.47,389,bid,18200,408,866,112.69%,-0.0596467549,AUTO,N/A,"09:30:33 ET"
USO,80.65,Call,80,2026-03-20T16:30:00-05:00,28,"4.90 x 154","5.15 x 110",5.02,115,mid,57700,530,5416,51.95%,0.5586704894142,AUTO,N/A,"09:30:37 ET"
USO,80.65,Call,80,2026-03-20T16:30:00-05:00,28,"4.90 x 105","5.05 x 39",5.02,135,mid,67700,530,5416,51.95%,0.5586704894142,AUTO,N/A,"09:30:42 ET"
SILJ,35.22,Call,35,2026-03-20T16:30:00-05:00,28,"2.42 x 894","2.60 x 400",2.6,400,ask,104000,400,5307,68.98%,0.55683287148135,AUTO,N/A,"09:30:48 ET"
ZSL,2.22,Put,1,2028-01-21T16:30:00-06:00,700,"0.25 x 1221","5.00 x 2666",0.35,876,mid,30600,876,2535,111.69%,-0.0936509311,AUTO,N/A,"09:30:52 ET"
