Symbol,Price~,Type,Strike,Expires,DTE,"Bid x Size","Ask x Size",Trade,Size,Side,Premium,Volume,"Open Int",IV,Delta,Code,*,Time
AUR,4.78,Put,4,2026-09-18T16:30:00-05:00,210,"0.00 x 0","2.85 x 1",0.6,637,mid,38200,637,4855,74.58%,-0.2656769088,AUTO,N/A,"09:30:00 ET"
INTC,43.5801,Call,80,2026-07-17T16:30:00-05:00,147,"0.00 x 0","0.78 x 512",0.75,400,mid,30000,400,2981,64.32%,0.10358457580194,SLAN,N/A,"09:30:00 ET"
AUR,4.78,Put,4,2026-06-18T16:30:00-05:00,118,"0.00 x 0","5.00 x 2",0.45,340,mid,15300,340,666,81.10%,-0.2617276423,AUTO,N/A,"09:30:01 ET"
META,639.05,Put,620,2026-02-20T16:30:00-06:00,0,"0.45 x 4","0.55 x 1",0.47,300,mid,14100,301,6236,40.66%,-0.0739573402,MLET,N/A,"09:30:01 ET"
META,639.05,Put,615,2026-02-20T16:30:00-06:00,0,"0.23 x 2","0.33 x 3",0.31,300,mid,9300,337,1838,42.17%,-0.0387668647,MLET,N/A,"09:30:01 ET"
PLUG,1.88,Call,2,2026-02-27T16:30:00-06:00,7,"0.0000 x 0","0.0700 x 6",0.07,4445,ask,31100,4451,5582,91.66%,0.33777036520245,SLAN,N/A,"09:30:01 ET"
AAL,13.35,Call,12,2026-03-20T16:30:00-05:00,28,"1.70 x 44","2.75 x 7",1.72,181,mid,31100,181,3751,63.35%,0.75605173703439,AUTO,N/A,"09:30:01 ET"
AMD,200.28,Call,310,2026-03-20T16:30:00-05:00,28,"0.01 x 256","0.14 x 1",0.1,553,mid,5500,941,7731,63.75%,0.0089008447093004,AUTO,N/A,"09:30:01 ET"
OPEN,5.2125,Put,5,2026-02-20T16:30:00-06:00,0,"0.02 x 46","0.06 x 3",0.05,1013,mid,5000,5190,18260,177.29%,-0.308936166,AUTO,N/A,"09:30:01 ET"
SNAP,4.94,Call,20,2027-01-15T16:30:00-06:00,329,"0.06 x 3","0.16 x 10",0.09,1000,mid,9000,1000,42624,78.36%,0.071610979761575,AUTO,N/A,"09:30:01 ET"
PLTR,132.148,Call,137,2026-02-20T16:30:00-06:00,0,"0.24 x 600","0.24 x 441",0.24,600,ask,14400,897,4323,48.78%,0.079839720130239,AUTO,N/A,"09:30:01 ET"
IBRX,8.4714,Call,9,2026-02-20T16:30:00-06:00,0,"0.20 x 772","0.40 x 1",0.2,772,bid,15400,816,17108,227.24%,0.32533139111213,AUTO,N/A,"09:30:01 ET"
NOW,106.12,Call,150,2028-01-21T16:30:00-06:00,700,"16.00 x 10","19.40 x 130",18.9,130,mid,245700,130,882,50.12%,0.47799505707586,AUTO,N/A,"09:30:01 ET"
RIVN,15.255,Put,14,2026-05-15T16:30:00-05:00,84,"1.43 x 101","1.44 x 172",1.44,101,ask,14500,200,831,73.49%,-0.3302696483,AUTO,N/A,"09:30:01 ET"
AGI,46.2801,Call,35,2026-03-20T16:30:00-05:00,28,"10.70 x 27","11.00 x 2",11,156,ask,171600,381,9444,69.18%,0.94134752651225,AUTO,N/A,"09:30:02 ET"
OPEN,5.2125,Call,5,2026-02-20T16:30:00-06:00,0,"0.47 x 21","0.50 x 496",0.5,496,ask,24800,6460,30752,118.95%,0.75990168147526,AUTO,N/A,"09:30:02 ET"
OSCR,13.45,Call,40,2028-01-21T16:30:00-06:00,700,"2.20 x 106","3.75 x 1",2.2,106,bid,23300,111,36031,82.49%,0.37280996236821,AUTO,N/A,"09:30:02 ET"
GME,23.55,Put,24,2026-02-20T16:30:00-06:00,0,"0.25 x 1","0.50 x 200",0.5,200,ask,10000,222,3684,48.59%,-0.7702031702,AUTO,N/A,"09:30:02 ET"
OXY,51.73,Call,50,2026-04-17T16:30:00-05:00,56,"2.41 x 1","3.75 x 71",3.72,142,mid,52800,155,6097,31.69%,0.6385078019298,AUTO,N/A,"09:30:02 ET"
RIG,6.29,Call,6,2026-02-20T16:30:00-06:00,0,"0.10 x 1","0.60 x 1",0.21,400,mid,8400,488,8821,86.18%,0.85886238296134,AUTO,N/A,"09:30:02 ET"
JOBY,10.075,Call,12,2026-03-13T16:30:00-05:00,21,"0.15 x 10","0.48 x 6",0.32,350,mid,11200,350,86,94.68%,0.25874233638584,AUTO,ToOpen,"09:30:03 ET"
TEM,61,Call,80,2026-03-20T16:30:00-05:00,28,"0.83 x 13","1.58 x 13",1,200,mid,20000,209,3665,84.84%,0.15277842959163,AUTO,N/A,"09:30:03 ET"
OWL,10.64,Put,10.5,2026-02-20T16:30:00-06:00,0,"0.00 x 0","1.20 x 8",0.1,1000,mid,10000,1178,1235,120.33%,-0.4046126149,AUTO,N/A,"09:30:03 ET"
LAR,6.94,Call,7.5,2026-03-20T16:30:00-05:00,28,"0.40 x 5","0.90 x 1",0.5,274,mid,13700,274,559,93.00%,0.43577662073078,AUTO,N/A,"09:30:03 ET"
INTC,43.63,Put,48,2026-02-20T16:30:00-06:00,0,"4.20 x 1000","5.45 x 1",4.2,1000,bid,420000,1100,7470,129.22%,-0.9174887728,AUTO,N/A,"09:30:03 ET"
XRAY,12.435,Put,12.5,2026-03-20T16:30:00-05:00,28,"0.45 x 24","0.85 x 5",0.8,200,mid,16000,200,2573,55.44%,-0.4838165804,AUTO,N/A,"09:30:03 ET"
VIPS,17.37,Put,17,2026-03-20T16:30:00-05:00,28,"0.45 x 25","0.80 x 200",0.8,200,ask,16000,200,433,49.42%,-0.4222635474,AUTO,N/A,"09:30:03 ET"
CIFR,15.525,Call,21,2026-03-20T16:30:00-05:00,28,"0.40 x 286","0.76 x 21",0.6,200,mid,12000,200,19960,120.28%,0.23212048426657,AUTO,N/A,"09:30:03 ET"
WULF,15.16,Call,17.5,2026-02-27T16:30:00-06:00,7,"0.10 x 75","0.40 x 125",0.4,125,ask,5000,125,1202,139.05%,0.25151558243049,AUTO,N/A,"09:30:04 ET"
GRAL,49.4,Put,45,2026-02-20T16:30:00-06:00,0,"0.65 x 1","1.00 x 200",1,200,ask,20000,338,7,250.47%,-0.2169220347,AUTO,BuyToOpen,"09:30:04 ET"
HELE,18.545,Put,35,2026-05-15T16:30:00-05:00,84,"14.20 x 40","18.80 x 20",16.42,126,mid,206800,132,14,77.48%,-0.957553317,TLET,ToOpen,"09:30:04 ET"
VERI,2.94,Call,5,2027-01-15T16:30:00-06:00,329,"0.80 x 5","1.50 x 174",0.8,250,bid,20000,250,1964,114.14%,0.53253128158995,AUTO,N/A,"09:30:05 ET"
